iter	Logloss
0	0.6895754122
1	0.6865478242
2	0.6823734595
3	0.6782639341
4	0.6747472687
5	0.672004067
6	0.6673976491
7	0.6643409787
8	0.661627171
9	0.6588395375
10	0.6560539439
11	0.6525799424
12	0.6502609451
13	0.64725329
14	0.6433185313
15	0.640216376
16	0.636594473
17	0.6342587917
18	0.6308471115
19	0.6282444012
20	0.624747719
21	0.6218716521
22	0.6183173252
23	0.6162271245
24	0.6142458316
25	0.6122382019
26	0.6098251014
27	0.6073483141
28	0.6049863139
29	0.6024531127
30	0.600314013
31	0.5975825059
32	0.5949948479
33	0.5930238703
34	0.5908530598
35	0.5892759044
36	0.586860153
37	0.5839921157
38	0.5812154088
39	0.5794453605
40	0.5781515457
41	0.5758221549
42	0.5740085289
43	0.5724884079
44	0.5712904908
45	0.5696805567
46	0.5681459923
47	0.5660759829
48	0.5643466702
49	0.5628503561
50	0.5612905795
51	0.5601306184
52	0.5583514238
53	0.5560434059
54	0.5547291903
55	0.5525616893
56	0.5509108755
57	0.5494251563
58	0.5475407375
59	0.5457478009
60	0.5442778544
61	0.5425344243
62	0.541185333
63	0.5397040284
64	0.538745348
65	0.5377377906
66	0.5368693885
67	0.5359740078
68	0.5345573922
69	0.5331470567
70	0.5317539979
71	0.5306239121
72	0.5296690024
73	0.5288017546
74	0.52760348
75	0.5265057328
76	0.5253580302
77	0.5244499605
78	0.5232614179
79	0.5221942033
80	0.5213243572
81	0.5203577044
82	0.5189287238
83	0.5174853128
84	0.5162120178
85	0.5152156838
86	0.5139593103
87	0.5132022303
88	0.5118820091
89	0.5110211036
90	0.5102343825
91	0.5092960407
92	0.5084181741
93	0.5078796756
94	0.5069547332
95	0.5062429921
96	0.5055327451
97	0.504782069
98	0.5038610062
99	0.5029816384
100	0.502289088
101	0.5014487676
102	0.5007689157
103	0.5001273562
104	0.4994971229
105	0.499125789
106	0.4983032113
107	0.4974771154
108	0.4967182898
109	0.495985004
110	0.4950919379
111	0.4945020672
112	0.493468278
113	0.4930056513
114	0.4924438912
115	0.4916788576
116	0.49111617
117	0.4906046889
118	0.4900960858
119	0.4894222597
120	0.4889749746
121	0.4885271704
122	0.4875607376
123	0.4870837763
124	0.4864676274
125	0.48552311
126	0.4846008123
127	0.4840189105
128	0.4834365905
129	0.4830479115
130	0.4825053361
131	0.4818507972
132	0.4813423082
133	0.4808836374
134	0.4804903585
135	0.4798371547
136	0.4791274439
137	0.4786616429
138	0.4780092421
139	0.4775913398
140	0.4770635088
141	0.4764505614
142	0.4760078538
143	0.4751691703
144	0.474596803
145	0.473796636
146	0.47339439
